transaction_id,customer_id,amount,payment_method,event_type,failure_reason,attempt_number,customer_segment,days_since_failure,previous_success_rate,customer_lifetime_value,is_subscription,invoice_age,recovered,recovery_action
TXN_000001,CUST_00268,622.71,upi,invoice_overdue,customer_abandoned,1,loyal,3,0.574,12783.22,0,51,1,retry_payment
TXN_000002,CUST_02322,972.79,card,invoice_overdue,bank_timeout,1,regular,8,0.906,14677.03,0,51,0,escalate
TXN_000003,CUST_01964,1864.64,upi,checkout_abandoned,authentication_failed,1,loyal,2,0.742,2991.56,0,0,1,retry_payment
TXN_000004,CUST_01317,907.38,netbanking,invoice_overdue,customer_abandoned,1,high_value,4,0.924,14749.48,0,52,1,retry_payment
TXN_000005,CUST_01300,1200.54,upi,payment_failed,insufficient_funds,1,regular,14,0.873,16575.32,0,0,0,escalate
TXN_000006,CUST_02576,2135.18,upi,payment_failed,bank_timeout,3,high_value,6,0.765,33293.66,0,0,1,retry_payment
TXN_000007,CUST_00258,1134.79,upi,payment_failed,limit_exceeded,1,new,10,0.722,6009.69,0,0,1,retry_payment
TXN_000008,CUST_02093,1797.35,card,payment_failed,limit_exceeded,1,regular,4,0.895,3812.9,0,0,0,retry_payment
TXN_000009,CUST_00605,5363.67,upi,payment_failed,insufficient_funds,2,loyal,0,0.854,4831.61,0,0,1,retry_payment
TXN_000010,CUST_00283,1307.32,upi,checkout_abandoned,network_error,1,new,9,0.869,11867.87,0,0,1,retry_payment
TXN_000011,CUST_01580,3853.32,upi,payment_failed,bank_timeout,2,regular,3,0.69,9683.59,0,0,1,retry_payment
TXN_000012,CUST_02927,2346.59,upi,payment_failed,insufficient_funds,2,loyal,7,0.784,8471.7,0,0,0,escalate
TXN_000013,CUST_02208,463.79,netbanking,payment_failed,unknown,2,high_value,11,0.834,5957.78,0,0,0,escalate
TXN_000014,CUST_02284,621.11,upi,checkout_abandoned,bank_timeout,1,regular,8,0.84,17092.68,0,0,1,retry_payment
TXN_000015,CUST_02153,769.96,upi,invoice_overdue,network_error,1,loyal,0,0.91,16193.9,0,3,1,retry_payment
TXN_000016,CUST_02359,756.99,upi,payment_failed,customer_abandoned,4,regular,10,0.556,7786.14,0,0,0,escalate
TXN_000017,CUST_01540,1395.47,upi,subscription_failed,mandate_failed,3,regular,6,0.81,81526.93,1,0,1,retry_payment
TXN_000018,CUST_00385,2452.68,upi,invoice_overdue,bank_timeout,2,regular,3,0.743,3000.38,0,24,0,retry_payment
TXN_000019,CUST_02520,4094.28,upi,subscription_failed,limit_exceeded,1,regular,10,0.573,6184.18,1,0,1,retry_payment
TXN_000020,CUST_01352,1919.39,upi,subscription_failed,limit_exceeded,1,regular,13,0.824,4008.95,1,0,1,retry_payment
TXN_000021,CUST_01502,1050.14,upi,checkout_abandoned,bank_timeout,2,loyal,3,0.827,5005.44,0,0,0,retry_payment
TXN_000022,CUST_01113,283.56,upi,invoice_overdue,bank_timeout,1,new,0,0.916,7981.01,0,16,1,retry_payment
TXN_000023,CUST_00548,1587.14,card,payment_failed,mandate_failed,4,loyal,12,0.813,13275.11,0,0,1,retry_payment
TXN_000024,CUST_02781,1531.25,upi,subscription_failed,network_error,4,regular,3,0.786,10207.44,1,0,1,retry_payment
TXN_000025,CUST_02345,1736.39,card,payment_failed,bank_timeout,1,new,4,0.788,125002.51,0,0,1,retry_payment
TXN_000026,CUST_01932,8088.61,card,payment_failed,limit_exceeded,1,loyal,1,0.568,2306.95,0,0,1,retry_payment
TXN_000027,CUST_01208,4046.86,netbanking,subscription_failed,network_error,1,regular,1,0.768,7216.28,1,0,1,retry_payment
